1599 samples: 800 train, 799 test
it 286: rate=0.000100, e_train=0.540743, e_test=0.492269
it 287: rate=0.000100, e_train=0.540594, e_test=0.492130
it 288: rate=0.000100, e_train=0.540447, e_test=0.491993
it 289: rate=0.000100, e_train=0.540304, e_test=0.491852
it 290: rate=0.000100, e_train=0.540158, e_test=0.491714
it 291: rate=0.000100, e_train=0.540008, e_test=0.491556
it 292: rate=0.000100, e_train=0.539859, e_test=0.491412
it 293: rate=0.000100, e_train=0.539706, e_test=0.491268
it 294: rate=0.000100, e_train=0.539552, e_test=0.491122
it 295: rate=0.000100, e_train=0.539397, e_test=0.490974
it 296: rate=0.000100, e_train=0.539246, e_test=0.490833
it 297: rate=0.000100, e_train=0.539088, e_test=0.490695
it 298: rate=0.000100, e_train=0.538936, e_test=0.490558
it 299: rate=0.000100, e_train=0.538785, e_test=0.490421
it 300: rate=0.000100, e_train=0.538636, e_test=0.490299
it 301: rate=0.000100, e_train=0.538492, e_test=0.490172
it 302: rate=0.000100, e_train=0.538350, e_test=0.490045
it 303: rate=0.000100, e_train=0.538212, e_test=0.489918
it 304: rate=0.000100, e_train=0.538070, e_test=0.489790
it 305: rate=0.000100, e_train=0.537929, e_test=0.489662
it 306: rate=0.000100, e_train=0.537791, e_test=0.489537
it 307: rate=0.000100, e_train=0.537653, e_test=0.489411
it 308: rate=0.000100, e_train=0.537516, e_test=0.489286
it 309: rate=0.000100, e_train=0.537379, e_test=0.489163
it 310: rate=0.000100, e_train=0.537243, e_test=0.489039
it 311: rate=0.000100, e_train=0.537114, e_test=0.488914
it 312: rate=0.000100, e_train=0.536974, e_test=0.488793
it 313: rate=0.000100, e_train=0.536842, e_test=0.488673
it 314: rate=0.000100, e_train=0.536707, e_test=0.488556
it 315: rate=0.000100, e_train=0.536575, e_test=0.488442
it 316: rate=0.000100, e_train=0.536443, e_test=0.488328
it 317: rate=0.000100, e_train=0.536312, e_test=0.488214
it 318: rate=0.000100, e_train=0.536183, e_test=0.488101
it 319: rate=0.000100, e_train=0.536054, e_test=0.487988
it 320: rate=0.000100, e_train=0.535926, e_test=0.487874
it 321: rate=0.000100, e_train=0.535798, e_test=0.487764
it 322: rate=0.000100, e_train=0.535671, e_test=0.487652
it 323: rate=0.000100, e_train=0.535544, e_test=0.487540
it 324: rate=0.000100, e_train=0.535418, e_test=0.487429
it 325: rate=0.000100, e_train=0.535294, e_test=0.487320
it 326: rate=0.000100, e_train=0.535171, e_test=0.487210
it 327: rate=0.000100, e_train=0.535048, e_test=0.487097
it 328: rate=0.000100, e_train=0.534925, e_test=0.486987
it 329: rate=0.000100, e_train=0.534805, e_test=0.486877
it 330: rate=0.000100, e_train=0.534684, e_test=0.486771
it 331: rate=0.000100, e_train=0.534564, e_test=0.486663
it 332: rate=0.000100, e_train=0.534444, e_test=0.486556
it 333: rate=0.000100, e_train=0.534330, e_test=0.486455
it 334: rate=0.000100, e_train=0.534212, e_test=0.486353
it 335: rate=0.000100, e_train=0.534096, e_test=0.486250
it 336: rate=0.000100, e_train=0.533978, e_test=0.486145
it 337: rate=0.000100, e_train=0.533863, e_test=0.486043
it 338: rate=0.000100, e_train=0.533748, e_test=0.485940
it 339: rate=0.000100, e_train=0.533632, e_test=0.485837
it 340: rate=0.000100, e_train=0.533518, e_test=0.485736
it 341: rate=0.000100, e_train=0.533403, e_test=0.485635
it 342: rate=0.000100, e_train=0.533289, e_test=0.485532
it 343: rate=0.000100, e_train=0.533174, e_test=0.485433
it 344: rate=0.000100, e_train=0.533061, e_test=0.485333
it 345: rate=0.000100, e_train=0.532949, e_test=0.485234
it 346: rate=0.000100, e_train=0.532834, e_test=0.485128
it 347: rate=0.000100, e_train=0.532722, e_test=0.485027
it 348: rate=0.000100, e_train=0.532610, e_test=0.484927
it 349: rate=0.000100, e_train=0.532498, e_test=0.484828
it 350: rate=0.000100, e_train=0.532386, e_test=0.484728
it 351: rate=0.000100, e_train=0.532276, e_test=0.484629
it 352: rate=0.000100, e_train=0.532167, e_test=0.484531
it 353: rate=0.000100, e_train=0.532055, e_test=0.484431
it 354: rate=0.000100, e_train=0.531944, e_test=0.484335
it 355: rate=0.000100, e_train=0.531835, e_test=0.484238
it 356: rate=0.000100, e_train=0.531727, e_test=0.484142
it 357: rate=0.000100, e_train=0.531619, e_test=0.484046
it 358: rate=0.000100, e_train=0.531512, e_test=0.483951
it 359: rate=0.000100, e_train=0.531407, e_test=0.483856
it 360: rate=0.000100, e_train=0.531300, e_test=0.483760
it 361: rate=0.000100, e_train=0.531197, e_test=0.483662
it 362: rate=0.000100, e_train=0.531089, e_test=0.483566
it 363: rate=0.000100, e_train=0.530982, e_test=0.483471
it 364: rate=0.000100, e_train=0.530877, e_test=0.483378
it 365: rate=0.000100, e_train=0.530772, e_test=0.483283
it 366: rate=0.000100, e_train=0.530666, e_test=0.483189
it 367: rate=0.000100, e_train=0.530560, e_test=0.483097
it 368: rate=0.000100, e_train=0.530455, e_test=0.483005
it 369: rate=0.000100, e_train=0.530351, e_test=0.482916
it 370: rate=0.000100, e_train=0.530249, e_test=0.482825
it 371: rate=0.000100, e_train=0.530145, e_test=0.482736
it 372: rate=0.000100, e_train=0.530040, e_test=0.482649
it 373: rate=0.000100, e_train=0.529935, e_test=0.482562
it 374: rate=0.000100, e_train=0.529832, e_test=0.482473
it 375: rate=0.000100, e_train=0.529730, e_test=0.482386
it 376: rate=0.000100, e_train=0.529627, e_test=0.482301
it 377: rate=0.000100, e_train=0.529525, e_test=0.482215
it 378: rate=0.000100, e_train=0.529425, e_test=0.482129
it 379: rate=0.000100, e_train=0.529324, e_test=0.482044
it 380: rate=0.000100, e_train=0.529225, e_test=0.481962
it 381: rate=0.000100, e_train=0.529127, e_test=0.481879
it 382: rate=0.000100, e_train=0.529029, e_test=0.481797
it 383: rate=0.000100, e_train=0.528932, e_test=0.481715
it 384: rate=0.000100, e_train=0.528836, e_test=0.481634
it 385: rate=0.000100, e_train=0.528740, e_test=0.481554
it 386: rate=0.000100, e_train=0.528644, e_test=0.481473
it 387: rate=0.000100, e_train=0.528549, e_test=0.481393
it 388: rate=0.000100, e_train=0.528454, e_test=0.481313
it 389: rate=0.000100, e_train=0.528358, e_test=0.481235
it 390: rate=0.000100, e_train=0.528264, e_test=0.481157
it 391: rate=0.000100, e_train=0.528171, e_test=0.481079
it 392: rate=0.000100, e_train=0.528078, e_test=0.481001
it 393: rate=0.000100, e_train=0.527985, e_test=0.480923
it 394: rate=0.000100, e_train=0.527893, e_test=0.480846
it 395: rate=0.000100, e_train=0.527802, e_test=0.480768
it 396: rate=0.000100, e_train=0.527711, e_test=0.480692
it 397: rate=0.000100, e_train=0.527621, e_test=0.480616
it 398: rate=0.000100, e_train=0.527533, e_test=0.480538
it 399: rate=0.000100, e_train=0.527442, e_test=0.480462
it 400: rate=0.000100, e_train=0.527353, e_test=0.480386
it 401: rate=0.000100, e_train=0.527263, e_test=0.480310
it 402: rate=0.000100, e_train=0.527174, e_test=0.480235
it 403: rate=0.000100, e_train=0.527085, e_test=0.480161
it 404: rate=0.000100, e_train=0.526995, e_test=0.480086
it 405: rate=0.000100, e_train=0.526906, e_test=0.480011
it 406: rate=0.000100, e_train=0.526819, e_test=0.479938
it 407: rate=0.000100, e_train=0.526731, e_test=0.479866
it 408: rate=0.000100, e_train=0.526645, e_test=0.479793
it 409: rate=0.000100, e_train=0.526558, e_test=0.479721
it 410: rate=0.000100, e_train=0.526472, e_test=0.479649
it 411: rate=0.000100, e_train=0.526383, e_test=0.479576
it 412: rate=0.000100, e_train=0.526298, e_test=0.479504
it 413: rate=0.000100, e_train=0.526213, e_test=0.479433
it 414: rate=0.000100, e_train=0.526127, e_test=0.479363
it 415: rate=0.000100, e_train=0.526042, e_test=0.479290
it 416: rate=0.000100, e_train=0.525959, e_test=0.479221
it 417: rate=0.000100, e_train=0.525874, e_test=0.479150
it 418: rate=0.000100, e_train=0.525790, e_test=0.479080
it 419: rate=0.000100, e_train=0.525705, e_test=0.479009
it 420: rate=0.000100, e_train=0.525621, e_test=0.478939
it 421: rate=0.000100, e_train=0.525538, e_test=0.478870
it 422: rate=0.000100, e_train=0.525455, e_test=0.478801
it 423: rate=0.000100, e_train=0.525372, e_test=0.478732
it 424: rate=0.000100, e_train=0.525289, e_test=0.478663
it 425: rate=0.000100, e_train=0.525207, e_test=0.478595
it 426: rate=0.000100, e_train=0.525125, e_test=0.478528
it 427: rate=0.000100, e_train=0.525040, e_test=0.478459
it 428: rate=0.000100, e_train=0.524958, e_test=0.478392
it 429: rate=0.000100, e_train=0.524876, e_test=0.478326
it 430: rate=0.000100, e_train=0.524794, e_test=0.478260
it 431: rate=0.000100, e_train=0.524713, e_test=0.478194
it 432: rate=0.000100, e_train=0.524633, e_test=0.478129
it 433: rate=0.000100, e_train=0.524552, e_test=0.478064
it 434: rate=0.000100, e_train=0.524473, e_test=0.477997
it 435: rate=0.000100, e_train=0.524394, e_test=0.477934
it 436: rate=0.000100, e_train=0.524314, e_test=0.477870
it 437: rate=0.000100, e_train=0.524236, e_test=0.477807
it 438: rate=0.000100, e_train=0.524156, e_test=0.477744
it 439: rate=0.000100, e_train=0.524077, e_test=0.477682
it 440: rate=0.000100, e_train=0.523999, e_test=0.477619
it 441: rate=0.000100, e_train=0.523921, e_test=0.477557
it 442: rate=0.000100, e_train=0.523844, e_test=0.477495
it 443: rate=0.000100, e_train=0.523767, e_test=0.477433
it 444: rate=0.000100, e_train=0.523690, e_test=0.477372
it 445: rate=0.000100, e_train=0.523613, e_test=0.477311
it 446: rate=0.000100, e_train=0.523537, e_test=0.477251
it 447: rate=0.000100, e_train=0.523460, e_test=0.477191
it 448: rate=0.000100, e_train=0.523385, e_test=0.477133
it 449: rate=0.000100, e_train=0.523310, e_test=0.477073
it 450: rate=0.000100, e_train=0.523234, e_test=0.477013
it 451: rate=0.000100, e_train=0.523159, e_test=0.476953
it 452: rate=0.000100, e_train=0.523085, e_test=0.476894
it 453: rate=0.000100, e_train=0.523007, e_test=0.476833
it 454: rate=0.000100, e_train=0.522934, e_test=0.476776
it 455: rate=0.000100, e_train=0.522858, e_test=0.476716
it 456: rate=0.000100, e_train=0.522784, e_test=0.476657
it 457: rate=0.000100, e_train=0.522711, e_test=0.476598
it 458: rate=0.000100, e_train=0.522637, e_test=0.476539
it 459: rate=0.000100, e_train=0.522564, e_test=0.476481
